simulation_time,latitude,longitude,altitude,speed,battery,heading,target_heading,heading_difference,flight_state,flight_mode,current_waypoint,distance_to_waypoint
110.0,50.210775322416204,-5.473321656549241,180,15.0,94.3500000000003,118.12312171879063,118.12312171879063,-1.3073986337985843e-12,CRUISE,STRAIGHT,2,433.0616020814661
111.0,50.21071162406144,-5.473202475911769,180,15.0,94.30000000000031,118.1231217187892,118.1231217187892,-1.4210854715202004e-12,CRUISE,STRAIGHT,2,418.06160208147446
112.0,50.210647925706674,-5.473083295274297,180,15.0,94.25000000000031,118.12312171878766,118.12312171878766,-1.5347723092418164e-12,CRUISE,STRAIGHT,2,403.06160208148293
113.0,50.21058422735191,-5.4729641146368255,180,15.0,94.20000000000032,118.123121718786,118.123121718786,-1.6484591469634324e-12,CRUISE,STRAIGHT,2,388.0616020814913
114.0,50.210520528997144,-5.472844933999354,180,15.0,94.15000000000032,118.12312171878422,118.12312171878422,-1.7621459846850485e-12,CRUISE,STRAIGHT,2,373.06160208149964
115.0,50.21045683064238,-5.472725753361882,180,15.0,94.10000000000032,118.12312171878229,118.12312171878229,-1.9326762412674725e-12,CRUISE,STRAIGHT,2,358.06160208150806
116.0,50.210393132287614,-5.47260657272441,180,15.0,94.05000000000032,118.12312171878017,118.12312171878017,-2.1032064978498966e-12,CRUISE,STRAIGHT,2,343.0616020815164
117.0,50.21032943393285,-5.472487392086938,180,15.0,94.00000000000033,118.12312171877788,118.12312171877788,-2.2737367544323206e-12,CRUISE,STRAIGHT,2,328.0616020815248
118.0,50.21026573557808,-5.472368211449466,180,15.0,93.95000000000033,118.12312171877537,118.12312171877537,-2.5011104298755527e-12,CRUISE,STRAIGHT,2,313.0616020815332
119.0,50.21020203722332,-5.472249030811994,180,15.0,93.90000000000033,118.1231217187726,118.1231217187726,-2.7853275241795927e-12,CRUISE,STRAIGHT,2,298.0616020815416
120.0,50.21013833886855,-5.472129850174523,180,15.0,93.85000000000034,118.12312171876954,118.12312171876954,-3.069544618483633e-12,CRUISE,STRAIGHT,2,283.06160208155
121.0,50.21007464051379,-5.472010669537051,180,15.0,93.80000000000034,118.12312171876613,118.12312171876613,-3.410605131648481e-12,CRUISE,STRAIGHT,2,268.06160208155836
122.0,50.21001094215902,-5.471891488899579,180,15.0,93.75000000000034,118.1231217187623,118.1231217187623,-3.808509063674137e-12,CRUISE,STRAIGHT,2,253.06160208156678
123.0,50.20994724380426,-5.471772308262107,180,15.0,93.70000000000034,118.12312171875804,118.12312171875804,-4.263256414560601e-12,CRUISE,STRAIGHT,2,238.06160208157513
124.0,50.20988354544949,-5.471653127624635,180,15.0,93.65000000000035,118.12312171875315,118.12312171875315,-4.888534022029489e-12,CRUISE,STRAIGHT,2,223.06160208158354
125.0,50.20981984709473,-5.471533946987163,180,15.0,93.60000000000035,118.12312171874758,118.12312171874758,-5.5706550483591855e-12,CRUISE,STRAIGHT,2,208.06160208159193
126.0,50.20975614873996,-5.4714147663496915,180,15.0,93.55000000000035,118.12312171874115,118.12312171874115,-6.423306331271306e-12,CRUISE,STRAIGHT,2,193.06160208160034
127.0,50.2096924503852,-5.47129558571222,180,15.0,93.50000000000036,118.12312171873364,118.12312171873364,-7.503331289626658e-12,CRUISE,STRAIGHT,2,178.06160208160873
128.0,50.20962875203043,-5.471176405074748,180,15.0,93.45000000000036,118.12312171872473,118.12312171872473,-8.924416761146858e-12,CRUISE,STRAIGHT,2,163.06160208161708
129.0,50.20956505367567,-5.471057224437276,180,15.0,93.40000000000036,118.12312171871402,118.12312171871402,-1.071498445526231e-11,CRUISE,STRAIGHT,2,148.06160208162547
130.0,50.2095013553209,-5.470938043799804,180,15.0,93.35000000000036,118.12312171870089,118.12312171870089,-1.3130829756846651e-11,CRUISE,STRAIGHT,2,133.06160208163388
131.0,50.20943765696614,-5.470818863162332,180,15.0,93.30000000000037,118.12312171868443,118.12312171868443,-1.645616976020392e-11,CRUISE,STRAIGHT,2,118.06160208164225
132.0,50.20937395861137,-5.47069968252486,180,15.0,93.25000000000037,118.12312171866319,118.12312171866319,-2.1259438653942198e-11,CRUISE,STRAIGHT,2,103.06160208165063
133.0,50.20931026025661,-5.4705805018873885,180,15.0,93.20000000000037,118.12312171863468,118.12312171863468,-2.850697455869522e-11,CRUISE,STRAIGHT,2,88.06160208165903
134.0,50.20924656190184,-5.470461321249917,180,15.0,93.15000000000038,118.1231217185945,118.1231217185945,-4.0188297134591267e-11,CRUISE,STRAIGHT,2,73.06160208166743
135.0,50.20918286354708,-5.470342140612445,180,15.0,93.10000000000038,118.12312171853357,118.12312171853357,-6.093614501878619e-11,CRUISE,STRAIGHT,2,58.06160208167581
136.0,50.20911916519231,-5.470222959974972,180,15.0,93.05000000000038,118.12312171843014,118.12312171843014,-1.0342660061724018e-10,CRUISE,STRAIGHT,2,43.0616020816842
137.0,50.20905546683755,-5.470103779337499,180,15.0,93.00000000000038,118.12312171831105,118.12312171831105,-1.190869625133928e-10,CRUISE,STRAIGHT,2,28.06160208160564
